address,maxClaimable
0xfC08113b645A0fa92BA30f775c0f2e0ae3D80C72,1
0x65063b954e2889d6278900462f0E2fc4Fc1DCF05,1
0xe76243d1af590b5fb1551cfc3dbe56bdd2b1eece,1
0xcf132Ff48EC7c6B1ED1fEF2D3Eca3EaA0AFF3715,1
0xf4c597f8e847f2Ece806E788f5A7374CC2A3d18f,1
0x86d299c6E6d678eb5ebD0585DAC4c09ee28203AF,1
0x67837ef53e2968BB0a4C1D5B18fa2f008C172a5E,1
0x969b8Adf4B42DAc3DA8193153C3c9e503D89b8F6,1
0x0adc45A9b1A42dC586474D209E33D61B92cE95D6,1
0x7b49F722ff9b35F920ef482474De0c856a3A5737,1
0x1181aabdce84e149e3fb4b596912b8cab4fb825c,1
0xA9239F3D75aea2511A75e28e72aE2c2E8A3d4eFB,1
0x046c7382FE839f9d314E74ed8327A67254f17E9B,1
0xAE29c6D6Aaa6Bc0697e47C491e6587047ff02da8,1
0xC952C0b4d204E2F6EB8A0fE932bCa6Ef3b5EBe29,1
0x66e66eD35F473D46BC4Eca14bdF0661822cb6418,1
0x24339dBC62619BE36Ca0E5f470Dd1a34C2AF1C12,1
0xb183f90FF41553c51b2880B870eB39eBbdadE4b8,1
0xC2EcEC56fb51FD8469635c7b76905a76ad9A60f5,1
0x7f9725490a6C4a62159DA2d3115A595287cbeBc6,1
0xC5f613F34f10e6cb358CE40ba39e8E1B0B53F41E,1
0x916d6C93ba622A98765d39CFFB7caa494c6C62bd,1
0xf0109ca8714c5865E17c3Cf479Ae4bdEd0cD459B,1
0x4e848cB280BA065F44e64F923A78a52141033F09,1
0x4F9701DEa650755F69A07d73EAAE0aD348D14C65,1
0xE620D6272da069553e7B398Ea5880D1c0DbCbabb,1
0x5F7a49b8F0FDf0C6dF74c32d514CeFFC32e2f686,1
0x5FAAd78f0c40b1e100a0fdf518b05cD84fc76C90,1
0x76bFe4bE79cb3Ce276938B154a79d5b986963aA7,1
0x4c83F873D446a2EE4A8c5577969e162702CFa449,1
0xE11Cecfd51DD567C2AA7bfFF280266466d5f1297,1
0x2A7cFfFEe2D69fEbA14cAe07fC4cA111a016cB1B,1
0x9607bCB26eCb4Ae1719d64C1F5fd912439381BE8,1
0xD7Be20763BB568Fbb620680FDA5D8d0e0f3Ace2b,1
0xA10a0794251351859a9fb887ee94A1C69c8845A0,1
0xc88910C401AC093017dBd816A7810abE9F8CD13f,1
0xf5745dB66fFEDe31449A5DAA30fAbB9E855fA97d,1
0xCA705afF2c65e9525174bd4654Ca5Dc855Fd8a20,1
0xBEc318FC920D603FAa9124aCef46d83c3ed0673b,1
0xbF682a3a08c8F369eC37D90E38afc8bCD8e9E909,1
0x92eB89529954051FD8a1A2192fDB617ebf34c1d4,1
0x9dc118e287D599278cc675d6b50f8be6de41BDf8,1
0x331164cCC0E0dAee2a92a347b51FcF48016fBD7C,1
0x328a24Af99926B398fB5d9875d2C76e9A4DDBB0D,1
0x98c7a0c5ec68939D43F30488E673F59B668967Ea,1
0xa1C2750fe6386c0ADf1da94cCbfBA2c5A3D09B00,1
0x8e298Ad008Ed0f955fDf46f800F006BE8e5A011e,1
0xdda6f72df08b1411174b547c2cced174946d6328,1
0xd28D0ce9374d4576b984569BC0599a06a97B8A17,1
0x0C3d63B1DD8f27190C637A132a7CA7c959d387d3,1
0x5a61288d03E9911462A5b27360454b9DEDD0dDA5,1
0x5Ca9CAa692341A8aBba00607f3Ae936d94Bcc0Ee,1
0x391018a054c9c55D534a153Be308711AC4b6C116,1
0xCf8FA8999b4F14ac42CD2BE3eb7633bbaC80c25E,1
0x9f330966309A254616a8BeFf60C332B1435a9496,1
0xc783a2839F18dA05309d0A7914D1544238132079,1
0x3E86C7795d8D6A21fcFAF85C8A4dC56c22D4c0ee,1
0x0FD8DDED089B49a365E3Ad657d9BF65C17f1Eb5B,1
0x180273b187A13A9C8aba9A71010064107Dd37Fe9,1
0x5d7d30c4C793d3d0655c6550ec610203fD42EC3C,1
0x90B2b3aCfD61C5cfD17631EdC430c59410071438,1
0x439AE60bcDaA65905A96dAD9bcd47eA5B0936b05,1
0x3f16e8373AbdaFEf411bD9d5B1E7E5E11261E23b,1
0x89b51CD9114d9E1bEdf7e2243D609C32AAE23485,1
0x3efA8A1CC7ee98FBf33816B4dc5dec3AC034f364,1
0x0b0983c64815F8c7C52D9d8F45614fbb39dE0474,1
0xB2edEf7BdB363B61e97dc689091E11C414B1CF76,1
0x1Db72097e4a2a7E7b7e6128227bC33B97096befb,1
0x1095453Ce1D89b37c91217F61b7B33A086e165Fe,1
0x186F0A9c6d1276f9281DF6d4e93Da7D5629b85bD,1
0xFEd5261FE5f932cF22e7726B3F8b695164b641C2,1
0x70Cd72687a6583a93D47E42730f0B2C63cE249B8,1
0xB2Ea2e3f29C056ad2774e922824F663AaDE04084,1
0xE2791c324FdBf6C78d83142e60E33a709DA01962,1
0x871984c1A8d6Fd3ab3DcC0C651b74a0Ca6263247,1
0xd32916E642174D8CCD6938b77AC2ba83D6C0CaCc,1
0x50fC5751F76e56851E044FC2173AEEc636BB4d8E,1
0x13C7779Dca042a1BE2f38Cb3D934F7BAC6f5B067,1
0x0911e15123d7F83Dc51b1b0608dDB62956e83Efd,1
0x57825aefC6231b3d9ae7CF2b4773d5E841084645,1
0xd08A0E5c4faf114880A732C1E951D8fE56839118,1
0x74364A654D380A8979ae81FDb69BE2b68eE73982,1
0x700E32c447628C8e85D9A88A5D560C54c7A9Fb95,1
0x5a433C4C9DF44A7664442D34ED52A42D6dB6479f,1
0x9E2382653e1947280116AfF9cd154df69dd6cDCe,1
0x555be5343185Cf44bf314C5aCC9777810Ab3ee4f,1
0x056Ac9EA2962f5cD274b073cD2be7343B426C5dc,1
0x9b116C2DBB12A5D59287D4aF1E0e8393334cC1ca,1
0xa20d384980BbB7CB9f240e41E85fDB0193c80499,1
0xA7839B0d337AEff5d51Dd61a6c8393EA06e67638,1
0x9C4F8c9d3A94A1822Bd5D4A829903d4e114eE9A1,1
0x8e1e5d25f24fD2CE7442065Ba6532f1Fff73A2A7,1
0x415Fd69E61176B2A367C132fa06d6EB84A7260fD,1
0xc92D9A266e58363c809326333DbA986edA1406a3,1
0x287bA556041EA72E3FB89E328709bb991B2CB8a2,1
0x868Fc4ff1d859C8df3f63d819a73d816B13cE18C,1
0x226F3Cad6Ca7998CcdC65CcF95B23Df250E4Cc86,1
0x6cd093bFF25AF011b3b6AB024Ffeaad211BdF6cA,1
0xd7b6e4e0681d846fb370efF4B5DCeceEAd972547,1
0xc22b489a20D6f3D7b0DeD65CDAA1033c4e102C98,1
0x5536207B8e2b3E9a8EE79D5eB4d19884BF0ffF19,1
0x915cEe8bB0C7a4Bc1c35D79DA4BE704D024F60B2,1
0x43078aC51b5206F9003602A894B1b5d12D9FA7cC,1
0x9FB3344C268B0ffA68245CF8494a3709457246cd,1
0x46234FccD57237F421070E23C509c8d7f5c97022,1
0x5788858ED0aD70DEA5056738b7FfD1810EacB84F,1
0xd469ccfCf90845F7dccf43E7b29dfA6312380A69,1
0x3D854cc95C0CBFB4d6bFAE2aE2E4c26f3A63d1dA,1
0x9117a2798182F79CC9AAD4038858b3F8B5B2D6e9,1
0x1122Dd10264Bfdc961e4831167783200249564fc,1
0x4b4B2b940D8A32068F722d4AC68fF68722db5622,1
0x4e0F3b7191B283A6CE8570b22300aE471De23324,1
0x8Bfef35854746608bA7a940456a957d906D25263,1
0x62f609500D31E55234a8c55B65B4378E230F9cf8,1
0x0Fd81c23fDE664f1a48e121B548beE1B347daD0F,1
0x4972822D66A3392d8646c48452305CF8f0C5eC02,1
0x751BF86b59105E9366D984B058906A47AD95F88E,1
0xf637c926C60B089b5d70FB8aF82A9aeD07f435C4,1
0x1b6e27DD687fad9bfb7041F064cFD478e1D9bcEa,1
0xEF842a4e4a3DE6C26689906DC3415f8b6CbBecc0,1
0x62716608231fc54683F811B2970CE448BcE5AF3b,1
0x1eb1f1b8a8579fa38d06c4326514d3977976f989,1
0xE613fCb8a55A64AE07f109F1fB726B0f4D7839a4,1
0x256fe56A55361c43bBc6b21647a57db07604C5e0,1
0x2049F8a8baAB20e2Ee9BDcB21e4D7b057c843d18,1
